company,position,connected_on
Parque Arauco División Perú,Gerente Desarrollo Inmobiliario,2021-11-18
Scotia Sociedad Agente de Bolsa S.A.,Associate Institutional Equities,2021-11-17
Vicctus Multi Family Office,Investment Strategy Senior Analyst,2021-11-17
Corporación Monte Azul,CFO,2021-11-17
Sociedad Eléctrica Del Sur Oeste - SEAL,Director,2021-11-17
"Superintendencia de Banca, Seguros y AFP del Perú",Analista Principal Inteligencia de Negocios,2021-11-17
Scotiabank,Vice President - Chief Accountant,2021-11-17
DLA Piper Perú,Asociada,2021-11-15
Auna,Chief Innovation and Digital Design LATAM,2021-11-15
ACRES Finance,Researcher in Risk Prevention AML/TF,2021-11-14
Mapfre Peru,Sub Director de Inversiones,2021-11-13
W CAPITAL SAFI,Vice President of Investor Relations and Business Development,2021-11-13
Santander,Head of Multinational Corporations | Corporate & Investment Banking,2021-11-13
Boston Consulting Group (BCG),Principal,2021-11-12
San Antonio Investment Group,Senior Investment Analyst,2021-11-12
Scotiabank,"CEO - Senior VP & Country Head, Scotiabank Republica Dominicana",2021-11-12
AFP Habitat Perú,Head of Equity,2021-11-12
McKinsey & Company,Summer Associate,2021-11-12
Management Solutions,Director,2021-11-12
La Positiva Seguros,Sub Gerente de Productos,2021-11-10
Rimac Seguros y Reaseguros,Jefe de Riesgos Técnicos,2021-11-10
Pick Nic,Art Director | Project Manager,2021-11-10
OECD - OCDE,Senior Policy Analyst,2021-11-08
Amstel Financial Group,Investment Strategist,2021-11-07
"Superintendencia de Banca, Seguros y AFP del Perú",Chief of Financial System Strategies and Methodologies Department,2021-11-07
Bank of China,Head of Treasury and Financial Institutions,2021-11-07
Banco de Crédito BCP,Product Owner - New Business Development,2021-11-07
SAS,Credit and Collections Solutions Advisor,2021-11-07
AFI School ,Ejecutiva comercial,2021-10-29
SBS,Superintendente adjunto de conducta de mercado e inclusion financiera,2021-10-28
Falabella,Analista Jr de Gestión Humana,2021-10-25
Pontificia Universidad Católica del Perú,"Profesor Principal, Investigador Senior en Pontificia Universidad Catolica del Peru",2021-10-21
Banco Central de Reserva del Perú - BCRP,Senior Analyst in Macro Modelling Unit,2021-10-20
Northeastern University,Program Manager,2021-10-17
Citi,Third Party Risk Group,2021-10-16
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Seguros II,2021-10-12
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Sistemas de Información y Tecnologia,2021-09-30
inLearning,Lider de Transformación Digital,2021-09-30
Planyt,Co-Founder,2021-09-28
Rebaza Alcázar & De Las Casas,Socio,2021-09-24
Planyt,Co-Founder,2021-09-24
Access to Insurance Initiative (A2ii),Advisor,2021-09-24
Kallpa SAB,Gerente de Trading,2021-09-24
Scotiabank,Head of Investment Advisory & Wealth Services,2021-09-22
Banco de Crédito BCP,"Sr. Product Manager, Innovation Lab",2021-09-22
San Pablo Salud,Subgerente técnico,2021-09-22
Tekton Labs,CEO,2021-09-21
Banco de Crédito BCP,SME Risk Tribe Leader,2021-09-21
Innóvate Perú,"Incubamos ideas, proyectos, startups y emprendedores con alto potencial de crecimiento",2021-09-20
Universidad del Pacífico (PE),Lecturer on Microeconomics,2021-09-17
Inkia Energy,Vice President Corporate Finance,2021-09-17
Nubank,Business Analytics Senior Manager,2021-09-16
MIT Professional Education,International Programs Manager,2021-09-10
PRS Prime Re Solutions,Consultant Actuary,2021-09-09
Liberty Mutual Insurance,"Director, Data Science",2021-09-09
Lizigo,Founder + CEO,2021-09-09
McKinsey & Company,Associate,2021-09-09
PwC Perú,Senior Manager,2021-08-25
APESEG - Asociación Peruana de Empresas de Seguros,Gerente Técnico de Estudios,2021-08-24
Amazon,Software Engineer,2021-08-24
Interbank,Principal Lead Analytics Translator,2021-08-18
Credicorp Capital,Director de Family Office - División de Gestión de Patrimonios,2021-08-18
Bamboo Capital Partners,Fund Manager & Head of Financial Inclusion,2021-08-17
Coface,Business Analyst,2021-08-16
Rimac Seguros y Reaseguros,Gerente de Inversiones - Selección de Activos,2021-08-16
The World Bank,Financial Sector Consultant,2021-08-14
EY Law (Ernst & Young),Senior Manager,2021-08-14
Banco Santander Chile,"Auditor de Riesgo de Crédito, Modelos y EWRM",2021-08-13
International Fund for Agricultural Development (IFAD),Consultora,2021-08-13
GCZ Ingenieros,Gerente Corporativo de Gestión de Personas,2021-08-10
In Touch Female Leadership & Career Academy,Senior Partner and Co-owner,2021-08-09
LIMA EXPRESA,Jefe de Tesorería,2021-08-03
Ministerio de Economía y Finanzas del Perú,Analista 2 de la Dirección de Sistema Financiero y Mercado de Capitales,2021-07-19
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Gerente de Asuntos Internacionales y  Comunicaciones ,2021-07-07
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Superintendente Adjunto de Banca y Microfinanzas,2021-06-15
"Superintendencia de Banca, Seguros y AFP del Perú","Jefe Oficina Descentralizada de Piura - Superintendencia de Banca, Seguros y AFP",2021-06-15
"Superintendencia de Banca, Seguros y AFP del Perú",Chief of the Department of Education and Financial Inclusion,2021-06-09
"Superintendencia de Banca, Seguros y AFP del Perú",Inspector de Reaseguros,2021-06-07
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de Seguridad de Información y Continuidad Operacional,2021-06-07
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Banca,2021-06-02
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Inversiones de Seguros III,2021-06-02
"Superintendencia de Banca, Seguros y AFP",Head of Systems Development Department,2021-06-01
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor del Sistema Financiero II,2021-05-31
"Superintendencia de Banca, Seguros y AFP del Perú",Coordinador de Regulación,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Analista Principal de Recursos Humanos,2021-05-30
PIMCO,Desk Analyst,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Analista Funcional de Desarrollo de Sistemas II,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Departamento de Desarrollo Organizacional,2021-05-30
Banco de Crédito BCP,Credit Assistant,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Riesgos de Conglomerados,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión de Seguros,2021-05-30
