company,position,connected_on
Universidad San Ignacio de Loyola,Miembro del Consejo Consultivo del Executive MBA de EPG USIL,2014-09-24
Compañía Aurifera Minera Sotrami S.A.,Gerente de operaciones,2014-09-24
Caja Municipal de Ahorro y Credito de Ica,Supervisor de Riesgo de Credito,2014-09-18
Consultoría de Negocios:  Procesos y Proyectos Agiles,Consultor de gestión de proyectos,2014-09-18
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Head of Group-wide Supervision Department,2014-09-17
Interbank,Líder de Analítica en Admisión de Riesgos,2014-09-10
Arca Continental Lindley,Jefe Corporativo de Auditoría Interna,2014-09-10
Alicorp,Gerente Corporativo de Auditoria Interna,2014-09-08
Interbank,Subgerente de Modelos de Gestion del Riesgo,2014-09-05
Sedapal Oficial,Especialista de Capital Humano,2014-08-30
Banco Ripley Perú,Subgerente de Riesgo de Mercado y Liquidez,2014-08-19
Escuela de Posgrado UTEC,Teacher and Research Assistant,2014-08-18
Inspira IT,Sales Manager,2014-08-11
Cleveland State University,Assistant Professor Of Finance,2014-08-08
BBVA Asset Management,Head of Investments & Trading,2014-08-06
Universidad Nacional Mayor de San Marcos,Docente a tiempo parcial,2014-08-06
Oficina Nacional de Procesos Electorales (ONPE),Encargado de Computo Descentralizado,2014-08-02
Universidad Privada del Norte (UPN) Laureate International Universities,Gerente de Seguridad y Servicios Generales,2014-08-02
The Nature Conservancy Latin American Conservation Council (LACC),Co-Chair,2014-07-31
Banco de Crédito BCP,Asesor de Negocios Pyme,2014-07-26
Be Mkt Group,Gerente - CRM,2014-07-23
Inversiones el Nissei S.A,Jefe del área de Sistemas.,2014-07-18
FRI ESAN,Docente,2014-07-18
Scotiabank,Especialista de Estrategias de Riesgos Retail,2014-07-14
Centro de Idiomas de la Universidad del Pacífico,Docente,2014-07-11
"Superintendency of Banking, Insurance and Private Pension Funds",Chief Banking Supervisory Officer,2014-07-11
Volcan Cia Minera SAA,Gerente Corporativo de Auditoría,2014-07-09
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Microfinanzas,2014-07-09
International Monetary Fund,Senior Financial Sector Expert,2014-07-08
The Institute of Internal Auditors Inc.,Member of the Board,2014-07-05
Wunderman Thompson,Martech & Offshore Business Director,2014-07-05
"Global Project Management, Peru",Gerente General,2014-07-04
RISKO - Risk Management,CEO,2014-07-04
AVLA,Subgerente Corporativo de Gestión Integral de Riesgos,2014-07-04
Municipalidad Distrital de Bellavista,"Gerente de Programación, Inversiones y Cooperación Técnica",2014-06-18
Protiviti Perú,Consulting Manager,2014-06-17
Servicios call center del Perú,Analista de Calidad,2014-06-13
Praim,Technical Support Team Lead,2014-06-13
Prymera - Caja de Ahorro y Crédito,Fx Trader de Tesoreria y Posicion,2014-06-10
ICBC Peru Bank,Gerente de Cumplimiento,2014-06-10
Banco de Crédito BCP,Risk Appetite Leader,2014-05-27
Yema,CEO,2014-05-27
Antamina,Fabricante e instalación ,2014-05-26
BNP Paribas Cardif,Gerente de Riesgos   ,2014-05-26
América Móvil,Analista de Procesos y desarrollo del consumo.,2014-05-19
International Monetary Fund,Senior Research Analyst at the Open Economy Macroeconomics Division of the Research Department,2014-05-17
Claro Perú,Jefe de Ciberseguridad Empresas,2014-05-16
Luken Business Consultants,Socio,2014-05-13
Entel Perú,Jefe de Procesos de Billing y Rating,2014-05-12
"SRiskM, Strategic Risk Management",Socio Director,2014-05-12
Scotiabank,Director Liquidity & Funding,2014-05-09
Banco Central de Reserva del Perú,Jefe de Auditoría de Tecnologías de Información,2014-05-09
"Superintendencia de Banca, Seguros y AFP del Perú","Jefe de Supervisión del Sistema Financiero en Superintendencia de Banca, Seguros y AFP del Perú",2014-05-09
Ladrillera Sagitario ,Director Independiente,2014-05-08
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Integridad Financiera,2014-05-08
FINANCIERA CREDINKA,Gerente general,2014-05-08
SUNASS,"Coordinador de APP, subsidios cruzados y métodos cuantitativos Gerencia de Regulación Tarifaria",2014-05-08
GRUPO INMOBILIARIO QUATUM,ASESOR COMERCIAL INMOBILIARIO,2014-05-07
Rock Drill Group,Gerente General Adjunto,2014-05-07
MASTER COACH PERU,Director- Head Coach,2014-05-07
Credicorp Capital,Asociado de Riesgo de Mercado,2014-04-28
Banco Ripley Perú,Asesor de crédito,2014-04-23
ORGANISMO NORMALIZACION PREVISIONAL,ENCARGADO DE ARCHIVO Y TECNICO ADMINISTRATIVO,2014-04-23
HDC BPO Services,Gerente de finanzas,2014-04-21
Capital Express Perú,Ejecutivo de Cobranza ,2014-04-21
DGRV Confederación Alemana de Cooperativas,Consultor superior,2014-04-21
Caja Arequipa,Jefe de Seguridad de la Información y PDP,2014-04-21
Financiera Crediscotia,Especialista de Modelos Estadisticos,2014-04-21
Strattos Parts,Analista de Estrategias de Cobranzas,2014-04-21
GRUPO A&C RECUPERA S.A.C,GERENTE COMERCIAL Y DE COBRANZAS,2014-04-21
Caja Señor de Luren S.A.,Auditoría Interna,2014-04-10
Culqi,Lead de Continuidad,2014-04-10
The Estée Lauder Companies Inc.,Asesora de canal de ventas D2D,2014-04-10
Protiviti Perú,Risk & Compliance Manager,2014-04-08
QREPS INTERNATIONAL,SELECCIÓN Y RECLUTAMIENTO,2014-04-08
Kallpa SAB,Controller,2014-04-08
Interbank,"Sr. Analyst, Risk Analytics",2014-04-08
IDC CONSULTORA,Coordinadora Académica,2014-04-08
CASA FASIL,Gerente Comercial ,2014-03-30
SURGIR - Santander Microfinanzas,Seguridad de la Informacion y Continuidad de Negocios,2014-03-30
RRI Global Consulting Group,Director Peru,2014-03-30
Federacion Peruana de cajas municipales de ahorro y creditos,Especialista en Planeamiento y Organización,2014-03-30
Visa,Risk Senior Manager,2014-03-30
ZINC INDUSTRIAS NACIONALES S.A. (ZINSA),Jefe de Sistemas,2014-03-29
"Consultoras como TOPStrategic, EBA Consulting, ACSystem, Kunak Consulting  Data Advance",Consultor independiente,2014-03-29
Scotiabank,Especialista Operativo Contable Financiero en Scotiabank Peru SAA,2014-03-29
Kaspersky,Head of Enterprise,2014-03-29
SAYQA Solution Partner,Director de Seguridad y Calidad,2014-03-29
SOLUCIONES DE INGENIERÍA Y CONSULTORIA  Q+TEC  S.A.C.,Jefe de proyectos de tecnologías de la información,2014-03-29
Pontificia Universidad Católica del Perú,Docente,2014-03-21
SENATI,Instructor en Ciberseguridad,2014-03-21
PRIME PROFESIONAL,Especialista Senior en Sistemas de Gestión,2014-03-21
Alquilo Cosas,CEO ,2014-03-21
Human Transition Management,Jefe de Recursos Humanos,2014-03-21
Practical Thinking Group,Director Ejecutivo PTG Perú - Global Thinker - Portfolio Project Management & PMO,2014-03-20
Financiera Efectiva S.A,Auditor,2014-03-12
BCTS Consulting,Business Intelligence and Data Analytics Consulting Manager,2014-03-12
Banco Ripley Perú,Jefe de Auditoría de TI,2014-03-10
Jeong Eun Corporation,Manager,2014-03-07
Universidad Privada Antenor Orrego,Docente Contratado,2014-03-07
TRADING&RISK MAGAZINE,Manager,2014-03-07
Pro Mujer,Coordinador de Automatización,2014-03-03
NTT DATA Europe & LATAM,Information Security Analyst,2014-03-03
Centro de Alta Capacitación en Tecnologías de la Información,Capacitación Avanzada y Perfeccionamiento en TI,2014-03-03
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor,2014-03-03
Independiente,Consultor financiero,2014-03-03
CAJA TRUJILLO,RECUPERACIONES,2014-03-03
Wolters Kluwer Tax & Accounting US,"VP, Product Management, CCH Audit Solutions",2014-02-18
CAF -banco de desarrollo de América Latina-,Principal Executive - Risk Management & Compliance,2014-02-14
JAS Solutions SAC.,CEO,2014-02-10
Banco Central de Reserva del Perú - BCRP,Supervisor en Administración de Encajes,2014-02-06
"Superintendencia de Banca, Seguros y AFP",Analista de Regulación,2014-01-30
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe del Departamento de Central de Riesgos,2014-01-29
Corporación Possible - Huamachuco,Gerente general,2014-01-28
Betriax,Chief Revenue Officer,2014-01-17
Universidad de Navarra,PHD Candidate,2014-01-15
Interbank,Analista de Riesgos de Mercado,2014-01-14
Inchcape Américas,CRM Manager,2014-01-14
Consultores Asociados SAC,"Asesor, Consultor, Capacitador Gestión Integral de Riesgos",2014-01-13
Eventos & Producciones,asistente,2014-01-10
EB RATINGS - Calificadora de Riesgo,Presidente,2014-01-06
Jurado Nacional de Elecciones,FISCALIZADOR TÉCNICO,2014-01-06
ONP - Fondo Consolidado de Reservas (Fondo de Pensiones),Director General de la Oficina de  Gestión de Riesgos,2014-01-01
Niubiz,Gerente de Riesgo Operativo y Cumplimiento,2013-12-29
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Integridad Financiera,2013-12-28
Veritas Prime Latam & Caribe,Prime Client Engagement & Sales Senior Manager ,2013-12-27
Advanced Money Express,owner,2013-12-26
Consultor Desarrollo Empresarial,Consultor,2013-12-26
UNACEM,Corporate Chief Information Security Officer (CISO Corporativo) en Grupo UNACEM,2013-12-10
QUANT AI Lab,Group Chief Executive Officer,2013-12-09
MDG Consulting,Gerente general,2013-12-08
BPM Peru & Consulting SAC,General Manager,2013-12-08
ISACA,International committee's member,2013-12-06
varma group,i phone application developer,2013-12-06
Thales,IT Operations Manager,2013-12-03
Rotary International,Miembro,2013-11-29
BBVA en Perú,Banking Architect,2013-11-29
Thomson Reuters,Account Manager Perú & Ecuador,2013-11-29
ABC Hunter,Jefe de Reclutamiento y Selección - Senior Associate,2013-11-22
Sonia Cáceres Desarrollo Ejecutivo y Coaching ,Directora Ejecutiva - CEO Founder,2013-11-22
Banco,"Gerente de Operaciones, Red de Oficinas y Canales",2013-11-22
Bosch and Siemens Home Appliances Group (BSH),INGENIERO DE PROCESOS,2013-11-22
Autónomo,Entrepreneur,2013-11-22
Muñoz & Asociados,Asesor Financiero e Inversiones,2013-11-22
National Oilwell Varco,Architect IT,2013-11-22
Universidad Nacional Mayor de San Marcos,Docente Tiempo Parcial Categoría Auxiliar,2013-11-22
WARWICK Integral Consulting Services,Director,2013-11-22
Superintendencia del Mercado de Valores,Coordinado de Riesgos Institucionales,2013-11-22
"Ministerio de vivienda, construccion y saneamiento",Coordinador General del Programa Generación de Suelo Urbano,2013-11-22
Pacific Credit Rating,Agile Coach,2013-11-22
Interbank,IT Strategic Projects Head,2013-11-22
MINISTERIO DE TRABAJO Y PROMOCIÓN DEL EMPLEO,COORDINADOR TÉCNICO - ANALISTA PROFESIONAL ESTADÍSTICO DE REGISTROS ADMINISTRATIVOS,2013-11-22
Credicorp Capital,Consultor Senior de Proyectos MDK,2013-11-22
COFIDE,Ejecutivo de Asesoría Jurídica de Negocios (Abogado Senior),2013-11-22
Financiera Confianza S.A.A,Responsable de Riesgo Operacional,2013-11-22
EUCIM - Escuela de Negocios y Administración de Empresas - MBA,profesor,2013-11-22
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de Seguridad de Información,2013-11-01
Banco Santander Perú,Ejecutivo de Calidad y Procesos,2013-11-01
Credicorp Capital,Analista Senior de Selección,2013-11-01
Alicorp,Gerente Corporativo de Riesgos y Control Interno,2013-11-01
Banco Financiero del Perú,Analista de Riesgos ,2013-11-01
Banco de Crédito BCP,Gerente Adjunto Arquitectura de Negocios,2013-11-01
Universidad Pontificia Comillas ICAI-ICADE,Profesor Grado y MBA de Negociación,2013-10-19
"Superintendencia de Banca, Seguros y AFP del Perú",Coordinador de Asesoría y Supervisión Legal,2013-10-19
ProducePay,Regional Sales Manager Perú,2013-10-19
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Jefe del Departamento de Organización y Calidad,2013-09-25
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor of Credit Risk,2013-09-23
Protiviti,Managing Director,2013-09-17
M&T International,Regional Consulting Manager (Perú | Chile),2013-09-13
Profesional independiente,Consultor,2013-09-13
Pontificia Universidad Católica del Perú,Directora de la Dirección de Asuntos Académicos,2013-09-10
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión,2013-09-09
Independiente,Abogada,2013-09-04
Farmarin Indústria e Comércio Ltda,Asesor Tributario,2013-08-28
Suiza Lab S.A.C.,Subgerente de Finanzas,2013-08-23
JOTA TRANSPORTES E.I.R.L.,Gerencia de Operaciones,2013-08-23
Scotiabank,"Audit Manager Trading, Treasury & Wealth Management",2013-08-23
Consorcio NET-GIS,Analista de sistemas sénior,2013-08-15
Guy Carpenter,Assistant Vice President | Global Strategic Advisory,2013-08-15
ICBC Peru Bank,Deputy General Manager & Chief Risk Officer (CRO),2013-08-15
IMS Global ,CEO,2013-08-15
Pacífico Business School,"Profesor en Habilidades Directivas, Gestión del Cambio e Innovación",2013-08-15
FOGAPI Fondo de garantía,Auditor General,2013-08-15
"Superintendencia de Banca, Seguros y AFP del Perú",Superintendente Adjunto de Riesgos,2013-08-10
Autónomo,Economista,2013-08-10
"Superintendencia de Banca, Seguros y AFP",Supervisor de Microfinanzas I,2013-08-10
"Superintendencia de Banca, Seguros y AFP del Perú",Senior Financial System Analyst,2013-08-10
Nodos Risk Consulting,CEO,2013-08-09
FuXion Biotech,Independent Distributor,2013-08-09
Axis Capital Management,Portfolio Manager,2013-08-09
SBS,Intendente de Supervisión de Inversiones,2013-08-09
Fenacrep,Jefe de Supervisión,2013-08-09
Jurado Nacional de Elecciones,Jefe del Órgano de Control Institucional,2013-08-09
Organismo Supervisor de las Contrataciones del Estado,Oficial de Seguridad de la Información,2013-08-09
Disaster Recovery Journal (DRJ) En Español,Directora,2013-08-09
Grupo Fodatex,Gerente general adjunto,2013-08-09
Euroflex Corp,"Jefe de Créditos, Cobranzas y Facturación",2013-08-09
Autónomo,Analista de Proyectos - Economista,2013-08-09
Universidad del Pacifico,Coordinadora de Ventas - Centro de Educación Ejecutiva,2013-08-09
Kashin 💸,Head of Product - Risk,2013-08-09
Caja Piura,ANALISTA DE SISTEMAS,2013-08-09
Caja Huancayo,Asistente de Estudios Económicos,2013-08-09
Consultor Independiente (Independent Consultant),Consultor independiente en Gestión de Riesgos  (Independent Risk Management Consultant),2013-08-04
Pontificia Universidad Catolica del Peru,Professor of Civil Engineering,2013-07-28
Pontificia Universidad Catolica del Peru,Analista de sistemas,2013-07-26
"Superintendencia de Banca, Seguros y AFP del Perú",Operational Risk Lead Supervisor,2013-07-23
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor principal riesgos de mercado,2013-07-22
Banco de Crédito BCP,Subgerente de Asesoría de Información,2013-07-20
"Superintendencia de Banca, Seguros y AFP",Superintendente Adjunto de Seguros,2013-07-19
Interfondos,Portafolio Manager,2013-07-19
AENZA ,Gerente Corporativo de Riesgos y Procesos,2013-07-19
Pontificia Universidad Catolica del Peru,Profesor a tiempo completo del Departamento de Ingeniería,2013-07-19
"Superintendencia de Bancos, Seguros y AFP",Financial Conglomerates Examiner,2013-07-19
Banco Ripley Perú,Gerente de Cumplimiento PLAFT,2013-07-18
"UP, UNMSM","Profesor de Finanzas, Banca, y Riesgos",2013-07-18
COOPER Risk,GERENTE DE RIESGOS Y CUMPLIMIENTO NORMATIVO,2013-07-18
PwC,Senior Manager - PWC Acceleration Center Buenos Aires - DAT,2013-07-18
"AIGRYS, ASOCIACIÓN IBEROAMERICANA DE GESTIÓN DE RIESGO Y SEGURO","Presidente Ejecutivo, AIGRYS ",2013-07-18
IBM,LA Talent Acquisition & Executive Search Partner - IBM Technology,2013-07-18
Repsol,"MANAGER, COMPLIANCE PROCESSES LATAM & PERU",2013-07-18
Grupo Electrodata (E-data),Director CyberSOC,2013-07-18
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente General de Conducta de Mercado y Tasas de Interés,2013-07-05
COFIDE,Auditor interno,2013-07-05
SOPURA SAC,ASISTENTE ADMINISTRATIVA Y CONTABLE,2013-07-05
Surgir - Santander Microfinanzas,Gerente de Recursos Humanos,2013-07-05
Rimac Seguros y Reaseguros,Sub-Gerente de Desarrollo de SW y QA,2013-07-05
Telefónica,Telco Senior de Transformación Digital,2013-07-05
SBS,Supervisor Principal de Banca,2013-07-05
SOGECE S.A.C.,Gerente de operaciones,2013-07-05
Broadridge,"Manager, Business Analysis",2013-07-05
Entel Perú,Ejecutivo de ventas,2013-07-05
"Superintendencia de Banca, Seguros y AFP",Inspector de AFP,2013-07-05
BBVA en Perú,Arquitecto Senior Middleware,2013-07-05
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor SPLAFT,2013-07-05
Superintendencia de Banca Seguros y AFPs,Supervisor Principal de Riesgos de Financiamiento Especializado,2013-06-19
Entel Perú,Data Scientist Especialista,2013-05-28
Productos Paraíso del Perú,Jefe de Planificación y Gestión Comercial,2013-05-28
Banco Internacional Ecuador,Corporate Risk Manager,2013-05-20
ASBANC - Asociación de Bancos del Perú,Vicepresidente del Comité Técnico de Riesgo Operacional,2013-05-20
Infosys,Consultor Funcional SAP FI CO,2013-05-20
Asociacion Cultural Peruano Britanica (Britanico),Analista de PeopleSoft,2013-05-20
UTP Universidad Tecnológica del Perú,Part-Time Professor of Economic Engineering in Faculty of Industrial and Mechanical Engineering,2013-05-20
IRIT (Institut de Recherche en Informatique de Toulouse),Doctoral Researcher,2013-05-20
Autoridad de Supervisión del Sistema Financiero,Analista de Estudios de Riesgo Global,2013-05-20
EY,Senior Manager - Strategy & Transactions ,2013-05-20
Banco de la Nación de Perú,Analista Seguridad Informática,2013-05-20
Poder Judicial del Perú (oficial),"Oficial de Seguridad Digital, Oficial de Gobierno de Datos",2013-05-06
Ministerio de Economía y Finanzas del Perú,Especialista de la Dirección de Calidad del Gasto Público (DCGP),2013-05-06
Interbank,Analista sr - Estrategias de Politicas de Riesgo,2013-05-06
CAJA LOS ANDES,"Jefe de Dpto. de Riesgo Operacional SI, CS y CN",2013-05-06
SUGLE - Sustainable Global Engineering, Project Manager,2013-05-06
(Independiente),Consultor Especialista en Continuidad y Resiliencia Organizacional,2013-05-06
Driven School of Leaders,Fundador,2013-05-06
Universidad Nacional de Ingeniería de Perú,Facultad de Ciencias,2013-05-06
Equifax Perú,Gerente de Microfinanzas,2013-05-06
Wolet,Co-Founder & Directora de Proyectos Estratégicos ,2013-05-06
Yape,QA Lead,2013-05-06
FINANCIERA EFECTIVA S.A,SUB GERENTE DE TESORERIA,2013-05-06
ONPE - Oficina Nacional de Procesos Electorales,Especialista en seguridad de la información,2013-05-06
Universidad Tecnológica del Perú,Jefe de Planeamiento Comercial,2013-04-22
Mitsui Auto Finance Peru,Gerente de Cumplimiento,2013-04-22
Cooperativa de Ahorro y Crédito ABACO,Jefe de Gestión por Procesos,2013-04-22
Pontificia Universidad Católica del Perú,Coordinador de desarrollo de proyectos de inteligencia de negocios,2013-04-19
Banco de Crédito BCP,Data Architect - Analytics Platform BCP,2013-04-18
"Superintendencia de Banca, Seguros y AFP del Perú",Lead Credit Risk Supervisor,2013-04-17
Caja Municipal de Sullana,Oficial de Cumplimiento Normativo,2013-04-17
"Superintendencia de Banca, Seguros y AFP del Perú",Analista Principal I,2013-04-16
Equals 11,Principal,2013-04-15
"Superintendencia de Banca, Seguros y AFP del Perú","Supervisor de Riesgos de Mercado, Liquidez e Inversiones",2013-04-15
izipay,Analista de continuidad de negocio,2013-04-15
Manuchar,Jefe de Planeamiento Estratégico y Proyectos,2013-04-15
Financiera Efectiva S.A,Subgerente de Riesgo Operacional,2013-04-15
RP Consultoria & Proyectos,Gerente de Proyectos e Ingenieria,2013-04-15
Caja Arequipa,Jefe de Auditoría de TI y Automatización,2013-04-15
"Mibanco, banco de la Microempresa",Analista Senior de Supervisión y Contraloría de Riesgos,2013-04-15
Graña y Montero Oficial,Jefe de Audioría Interna,2013-04-15
Auna,Business Partner TI,2013-04-15
VL SOLUTIONS GLOBAL VISFUT SAC,Gerente general,2013-04-15
Ministerio de Economía y Finanzas del Perú,Coordinador económico financiero,2013-04-05
Franklin Templeton,"Vice President, Senior Quantitative Researcher",2013-03-31
La Positiva Seguros,Apoderado de Productos Individuales (Marketing Actuary),2013-03-30
Neurable,Research Engineer,2013-03-28
SGS,Senior Human Resources Business Partner,2013-03-27
Superintendencia de Banca Seguros y AFP,Supervisor de Microfinanzas,2013-03-27
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Riesgo Operacional,2013-03-26
Ministerio de Economía y Finanzas del Perú,Financial Planing and Strategy Director,2013-03-25
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de Supervisión de Microfinanzas,2013-03-24
INANDES - GRUPO FINANCIERO ,Gerente de Operaciones y Riesgos,2013-03-22
DUIX S.A.,Asistente Gerencia Comercial y Telemarketing,2013-03-21
Sernanp,Analista - Programador,2013-03-21
Compartamos Financiera,Head of Risk Modeling,2013-03-21
"Superintendence of Banks, Insurance & Private Pension Funds",Head Of The Operational Risk Department,2013-03-21
Pontificia Universidad Católica del Peru,Profesional en Sistemas,2013-03-20
"Superintendencia de Banca, Seguros y AFP",Intendente de Valorización de Inversiones,2013-03-20
JCR LATAM Clasificadora de Riesgos,공동 CEO,2013-03-19
Caja Rural Raíz,Jefe de Riesgo Operacional,2013-03-19
"Superintendencia de Banca, Seguros y AFP del Perú",Chief Economist,2013-03-18
"Superintendencia de Banca, Seguros y AFP del Perú",Principal Operational Risk Supervisor,2013-03-15
Autónomo,consultor,2013-03-14
BBVA Asset Management ,Chief Risk Officer (CRO),2013-03-13
Omnia Solution,Directora de Gestion Humana,2013-03-13
Interseguro Compañía de Seguros,Gerente de Riesgos,2013-03-12
Profesional independiente,Consultor en formación y capacitación empresarial,2013-03-12
Pacífico Seguros,Lead Data Scientist & Analytics - Center of Excellence Data & Analytics,2013-03-12
Profesional independiente,CONSULTOR FINANCIERO Y RIESGOS FINANCIEROS ,2013-03-12
SBN,ASISTENTE LEGAL,2013-03-12
"Superintendencia de Banca, Seguros y AFPs",Superintendente Adjunto de Banca y Microfinanzas,2013-03-08
Blum SAF,Chief Technology Officer,2013-03-07
Autónomo,Consultor independiente,2013-03-07
Luken Business Consultants,Director asociado,2013-03-03
Pontificia Universidad Católica del Perú,Jefe de oficina,2013-03-03
Sencico,Gerente general,2013-02-27
Selection Partners Perú,Business Associate,2013-02-26
Association of Certified Fraud Examiners (ACFE),Authorised Trainer - CFE Exam Review Course,2013-02-26
Digital Store Peru SAC,Gerente financiero,2013-02-26
First Republic Bank,Business Analyst,2013-02-20
Tottus,Scrum Master,2013-02-18
"Pérez Capurro, Vásquez & Alvarado Abogados",Consultor legal,2013-02-17
Alicorp,Business Architect - Vicepresidencia Corporativa de Finanzas y Transformación ,2013-02-17
ByteDance,Data Scientist,2013-02-17
Banco de Comercio Perú,Head of Innovation & Digital Transformation,2013-02-17
IBM,LA Security Risk Advisor,2013-02-17
Grupo Prime Consultores,Director de Proyectos de Consultoria,2013-02-17
Aptitus.com,Researcher,2013-02-17
Suramericana,Broker Life Insurance,2013-02-17
Kyndryl,Middleware Squad Leader,2013-02-17
GSS (Global Sales Solutions),Asesor GSS-MOVISTAR,2013-02-17
Pontificia Universidad Catolica del Peru,Gestor de proyectos de TI Senior,2013-02-17
Deloitte,Socio,2013-02-06
Consulta Privada,Psicoterapeuta,2013-02-04
G4S,Regional Systems Implementation Manager - Latin America & Caribbean,2013-02-04
Pontificia Universidad Católica del Perú,Administrador,2013-02-02
Universidad de Piura,Managing Director,2013-02-02
ASBANC,Presidente Comité Técnico de Riesgo Operacional,2013-02-01
INFOPUC - PUCP,Analista de marketing y ventas,2013-02-01
TBL The Bottom Line,Ejecutivo de Cuenta Claves,2013-02-01
DEVOS Inc,Gerente de Tecnología e Innovación,2013-02-01
TC Energy,"Red Team Lead, Cybersecurity",2013-01-28
Pixellar,Director Creativo,2013-01-23
"Superintendencia de Banca, Seguros y AFP's",Analista de Valorización de Inversiones,2013-01-23
Symbiotics,Sustainability & Credit Specialist - Fixed Income ,2013-01-23
Veracode,Multi Country Manager Latam,2013-01-23
La Positiva Seguros,Gerencia Corporativa de Cumplimiento,2013-01-23
Stratechnia,Managing Director,2013-01-14
Compañia Minera Poderosa S.A.,CISO,2013-01-14
Superintendencia de Bancos e Instituciones Financieras,Analista de Estudios,2013-01-14
Universidad Privada del Norte,Docente Universitario Tiempo Completo,2013-01-14
Movistar (Telefónica Hispam),Especialista,2013-01-14
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Riesgo Operacional,2013-01-14
 ---,Profesional Independiente,2013-01-14
Consulting SCM,Capacitación & Consultoría,2013-01-14
EY,IT Risk Manager Consulting en EY Perú (Ernst & Young),2013-01-14
NTT DATA Europe & LATAM,Service Manager at BPO Digital HUB,2013-01-14
ADVANCED RISK SERVICES,Director Ejecutivo,2013-01-14
Niubiz,Head de Riesgo Operativo y Tecnológico,2013-01-14
"University of California, Berkeley, Goldman School of Public Policy",Graduate Research Assistant at CITRIS Policy Lab,2013-01-14
Claro Perú,Gerente de Admisión de Clientes,2013-01-14
Grupo BVL,Gerente de Unidad de Negocio Alternativas de Financiamiento y Servicios Digitales ,2013-01-06
SOFTWARE SHOP INC,ANALISTA,2012-12-01
OSINERGMIN,Especialista en Inteligencia y Analítica de Negocios,2012-12-01
Delivery Associates,Delivery Leader,2012-12-01
Alimsur,Co-Founder,2012-12-01
Pontificia Universidad Católica del Perú,PRE-DOCENTE DE CIENCIAS E INGENIERIA,2012-11-21
Media Networks,Ingeniero sénior,2012-10-25
Telefónica,Head of Commercial Planning,2012-10-25
Tottus,IT Analyst,2012-10-24
Pontificia Universidad Católica del Perú,Director adjunto de Tecnologías de Información,2012-10-23
pegasus consultores sac,coordinadora de monitoreo de agentes ocupacionales y ambientales,2012-10-19
APOYO Consultoría,Director de Proyectos - Consultoría Económica,2012-10-19
Pontificia Universidad Catolica del Peru,Analista de sistemas,2012-10-15
Direccion de tecnologias de informacion - pucp,Jefe del area de inteligencia de datos,2012-10-11
Banco de Comercio Perú,Funcionario Banca Empresa,2012-10-11
Falabella,Crisis Management and Cyber Incident Response Product Owner ,2012-10-09
Hewlett Packard Enterprise,Greenlake Business & Portfolio Finance lead,2012-10-08
Atento,Analista de Sistemas – Inteligencia Negocios - Inteligencia Comercial -  BI,2012-10-05
"Superintendencia de Banca, Seguros y AFP del Perú","Principal Supervisor of Market, Liquidity and Investment Risks",2012-10-03
University College Cork,Becario de investigación,2012-09-28
Cálidda - Gas Natural de Lima y Callao,Subgerente de Auditoría Interna ,2012-09-28
Practia Global,Consultant,2012-09-28
Independiente,Consultor de energía,2012-09-28
HellermannTyton Brazil,Technical Sales Representative in Peru,2012-09-28
Banco Ripley,Gerente regional,2012-09-17
More Good Foundation,Latin America Director,2012-09-17
Grupo Seidor Perú,Gerente de consultoría LATAM,2012-09-04
Amezquita & Cia - PKF Colombia,Responsable en auditoría de TI,2012-08-30
MVC Partners,Gerente Oracle,2012-08-30
Quimtia,Gerente de Control de Gestión,2012-08-30
Canadian Light Source Inc. / Centre canadien de rayonnement synchrotron,Support Scientist - BioMedical Imaging and Therapy,2012-08-24
Bosch,Lider de Proyectos Industriales Senior,2012-08-24
Petroleos del Perú SA,Asistente de Planeamiento y Control,2012-08-24
Keos.co,Full Stack Software Engineer,2012-08-24
Qbit S.A.,Principal Cloud Architect,2012-08-24
USMP,English teacher,2012-08-24
Claro Perú,Senior Security Analyst.,2012-08-23
Revista Actualidad Empresarial,Asesor y Consultor Legal Laboral en la Revista Actualidad Empresarial,2012-08-23
Micco Marketing Digital,CEO and Social Media Manager,2012-08-16
Niubiz,Head Operaciones TI Servicios,2012-08-10
Luz del Sur,Senior Internal Auditor,2012-08-06
IT DATUM SAC,Gerente Soluciones TIC,2012-08-06
Protecta Security,Oficial de Seguridad de la Información,2012-08-06
"Central Time Developers, Inc.",Software Engineer,2012-07-25
McKinsey & Company,Software Engineer,2012-07-25
