company,position,connected_on,user
Banchile Inversiones,Jefe de eventos,2022-06-29,Camilo
ULedger,MBA Intern,2022-06-27,Camilo
Babson College,MBA Candidate,2022-06-27,Camilo
Babson College,MBA Candidate Class of 2023,2022-06-27,Camilo
Teradyne,Product Manager,2022-06-27,Camilo
ULedger,Product Manager,2022-06-27,Camilo
Universidad Diego Portales,COORDINADORA GENERAL FACTORÍA UDP,2022-06-23,Camilo
Goldleaf Design ,Project Manager,2022-06-22,Camilo
Breinify,Sr. Enterprise Account Executive,2022-06-21,Camilo
CreditRiskMonitor,President & Chief Operating Officer,2022-06-21,Camilo
CarGurus,Product Manager MBA Intern,2022-06-19,Camilo
Fpay,Analista Sr. de Estrategia y Proyectos,2022-06-18,Camilo
Independencia Asset Management,"Senior Director, North East",2022-06-18,Camilo
WENCO S.A.,Board Member,2022-06-18,Camilo
Scharfstein Labs,General Partner,2022-06-18,Camilo
ULedger,Product Marketing,2022-06-18,Camilo
Inversiones Security,Gerente Comercial,2022-06-18,Camilo
Harbinger,Financial Analyst,2022-06-17,Camilo
Independent Consultant,Independent Consultant,2022-06-17,Camilo
RIFAST Systems,Business Intelligence,2022-06-17,Camilo
Babson Global Entrepreneurial Leadership Forum,Director of Networking,2022-06-17,Camilo
ECA Solar,Project Finance,2022-06-17,Camilo
Udeshi Financial,Financial Architect,2022-06-16,Camilo
Top Diamantaire Limited,Founder,2022-06-16,Camilo
Babson College,Associate Director of Graduate Student Advising/Relationship Manager,2022-06-15,Camilo
Babson College,MBA Candidate,2022-06-15,Camilo
Agile Synergy Group,Private Equity Associate,2022-06-15,Camilo
Aurus,Managing Partner,2022-06-12,Camilo
Boskalis,Legal Counsel,2022-06-11,Camilo
Mixing Board,Mixing Board Community Member,2022-06-08,Camilo
"PolyOrg, Inc.",Associate Director of Operations ,2022-06-07,Camilo
LATAM Airlines,Product Development Manager en Latam Cargo,2022-06-07,Camilo
Consorcio,Jefe de Financiamiento Inmobiliario,2022-06-06,Camilo
EPAM Continuum,"Director, Innovation Consulting",2022-06-05,Camilo
Babson College,MBA Candidate,2022-06-04,Camilo
Babson College,MBA Candidate,2022-06-04,Camilo
Nubox SpA,Chief Executive Officer (CEO),2022-06-04,Camilo
Philips,Advanced Innovation Marketing Intern,2022-06-04,Camilo
Babson College,MBA Candidate,2022-06-03,Camilo
Babson College,MBA Candidate,2022-06-03,Camilo
Guerrero Olivos,Partner,2022-06-01,Camilo
ChileMass,Executive Director,2022-06-01,Camilo
Banchile Inversiones,Jefe de Renta Variable Internacional,2022-05-31,Camilo
BPA Constructora y Cia. Ltda,Socio gerente general,2022-05-27,Camilo
Johnes y Luccas Asesorías Contables Ltda,CEO,2022-05-27,Camilo
Banchile Inversiones,Analista SSR Control de Inversiones,2022-05-21,Camilo
